runtime,nr. points,bytes,time taken,mbs,ps
116464824852,10000,161640,0.024412251,6.55408630691205,409630.39418200316
116519233560,10000,161640,0.024976381,6.406052181859334,400378.2613662084
116574694232,10000,161640,0.025925794,6.171459975343475,385716.2484589672
116632202608,10000,161640,0.024467858,6.539191129848801,408699.44561555004
116688489792,10000,161640,0.024101993,6.638455168416986,414903.4480260616
116742055396,10000,161640,0.026101494,6.129917314311587,383119.8321444742
116799982446,10000,161640,0.025155173,6.360520756506028,397532.5472816267
116855961554,10000,161640,0.023928165,6.686680737950444,417917.54612190276
116909117448,10000,161640,0.025828346,6.194744332447769,387171.52077798557
116966420372,10000,161640,0.025332201,6.31607178547178,394754.48659198626
117022803372,10000,161640,0.024062818,6.649262775457139,415578.9234660712
117076264742,10000,161640,0.029894598,5.3521375333429795,334508.59583393624
117142561982,10000,161640,0.024156792,6.623396020464969,413962.25127906055
117196354044,10000,161640,0.023988645,6.669822326354823,416863.89539717644
117249646880,10000,161640,0.026268238,6.091006180163283,380687.8862602052
117307914764,10000,161640,0.024293494,6.586125486930781,411632.8429331738
117362054138,10000,161640,0.025081273,6.379261531103306,398703.8456939566
117417729378,10000,161640,0.026799078,5.9703546517533175,373147.16573458235
117477213340,10000,161640,0.024381808,6.562269705347528,410141.8565842205
117531563518,10000,161640,0.024148603,6.625642071303255,414102.62945645343
117585186704,10000,161640,0.025481801,6.2789910336400485,392436.93960250303
117641749294,10000,161640,0.024643861,6.4924891436451455,405780.5714778216
117696704704,10000,161640,0.025232239,6.341094026574495,396318.3766609059
117752717696,10000,161640,0.025448879,6.2871138646224844,392944.6165389053
117809336056,10000,161640,0.024222082,6.605542826582786,412846.4266614241
117863275606,10000,161640,0.024133114,6.629894509262253,414368.4068288908
117916883172,10000,161640,0.024678666,6.483332608010498,405208.2880006561
117971715812,10000,161640,0.025278586,6.329467953626836,395591.7471016773
118028000228,10000,161640,0.02395835,6.678256223821758,417391.01398885984
118081204870,10000,161640,0.024266087,6.593564096263234,412097.7560164521
118135127736,10000,161640,0.025783745,6.205460067961423,387841.2542475889
118192642068,10000,161640,0.023786217,6.726584559453065,420411.5349658166
118245471048,10000,161640,0.027042178,5.9166831902371175,369792.69938981987
118305441810,10000,161640,0.024456181,6.542313372639825,408894.58578998904
118359929980,10000,161640,0.023930371,6.68606433222452,417879.0207640325
118413073390,10000,161640,0.02533247,6.316004716476522,394750.29477978265
118469349412,10000,161640,0.024082077,6.643945204560221,415246.5752850138
118523060438,10000,161640,0.023842444,6.710721434430128,419420.089651883
118576010866,10000,161640,0.025540234,6.264625453314171,391539.0908321357
118632704190,10000,161640,0.023992642,6.668711182369995,416794.4488981247
118686166752,10000,161640,0.024883831,6.429878100361637,401867.3812726023
118741408994,10000,161640,0.026141343,6.120573070786761,382535.81692417257
118799459812,10000,161640,0.023949379,6.6807577766421415,417547.36104013387
118852795150,10000,161640,0.025148538,6.362198868180727,397637.4292612954
118908646830,10000,161640,0.024521642,6.524848539914252,407803.03374464076
118963092880,10000,161640,0.023926388,6.687177354141377,417948.58463383606
119016411026,10000,161640,0.025208748,6.347003032439375,396687.6895274609
